session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,42.250000,17,0.923309,0.923309,0.276363,0.067444,1.108725,0.466297,0.089039,0.573266,0.155318,0.098510,0.634243,0.155318,0.000372,0.583304,0.000637,0.000000,0.000000,0.148600,0.106593,0.460166
hp_blink_20260617_190655,45.328000,16,0.246671,0.246671,0.028539,0.217584,1.005437,0.187035,0.096814,0.939058,0.103097,0.067081,0.931829,0.071988,0.079763,0.934260,0.085376,0.006533,0.603373,0.010828,0.106593,0.460166
hp_blink_20260617_190655,47.906000,16,0.464072,0.464072,0.025796,0.008012,0.334693,0.136742,0.289332,0.947394,0.305398,0.310611,0.954633,0.325372,0.307768,0.945896,0.325372,0.013098,0.628673,0.020834,0.106593,0.460166
hp_blink_20260617_190655,49.500000,17,0.462690,0.462690,0.041679,0.078809,0.232964,0.127186,0.239207,0.930465,0.257084,0.204699,0.931152,0.219835,0.167109,0.933341,0.179044,0.008375,0.706233,0.011859,0.106593,0.460166
hp_blink_20260617_190655,49.828000,16,0.396945,0.396945,0.028431,0.148859,0.360041,0.184721,0.248736,0.943635,0.263593,0.246204,0.940397,0.261809,0.240999,0.937434,0.257084,0.037038,0.465329,0.079596,0.106593,0.460166
hp_blink_20260617_190655,52.625000,16,0.537566,0.537566,0.025724,0.515025,0.662234,0.283320,0.312494,0.938592,0.332939,0.339250,0.943682,0.359496,0.346637,0.944298,0.367084,0.000000,0.000000,0.176358,0.106593,0.460166
hp_blink_20260617_190655,52.922000,16,0.484619,0.484619,0.020166,0.401610,0.662234,0.271886,0.323037,0.977861,0.330350,0.317195,0.960179,0.330350,0.316728,0.954071,0.331976,0.023165,0.201864,0.114753,0.106593,0.460166
hp_blink_20260617_190655,57.156000,16,0.672071,0.672071,0.215582,0.080484,1.029033,0.276441,0.138836,0.766770,0.181066,0.161530,0.726588,0.222313,0.101337,0.559666,0.181066,0.014267,0.583407,0.024454,0.106593,0.460166
hp_blink_20260617_190655,58.719000,16,0.554345,0.554345,0.106076,0.036947,0.168503,0.102805,0.261901,0.715406,0.366087,0.251242,0.797452,0.315056,0.242557,0.769885,0.315056,0.030659,0.706908,0.043370,0.106593,0.460166
hp_blink_20260617_190655,58.922000,16,0.620946,0.620946,0.094555,0.070025,0.168503,0.091466,0.440992,0.949642,0.464377,0.356248,0.795636,0.447752,0.304615,0.832084,0.366087,0.008203,0.829479,0.009889,0.106593,0.460166
hp_blink_20260617_190655,60.422000,16,0.672587,0.672587,0.095238,0.600480,0.307333,0.135672,0.436954,0.842328,0.518746,0.330325,0.758972,0.435227,0.330427,0.792195,0.417103,0.030101,0.767156,0.039237,0.106593,0.460166
hp_blink_20260617_190655,60.797000,16,0.672587,0.672587,0.124320,0.706713,0.262789,0.132668,0.346174,0.845324,0.409517,0.290991,0.710570,0.409517,0.303194,0.726905,0.417103,0.010491,0.826743,0.012690,0.106593,0.460166
hp_blink_20260617_190655,61.141000,16,0.670555,0.670555,0.113447,0.516291,0.262789,0.120560,0.079606,0.911118,0.087371,0.011700,0.819863,0.014270,0.170557,0.824075,0.206968,0.010593,0.834781,0.012690,0.106593,0.460166
hp_blink_20260617_190655,66.500000,17,1.114960,1.114960,0.440967,0.517951,1.062278,0.452658,0.043309,0.154091,0.281064,0.000000,0.000000,0.230203,0.000000,0.000000,0.230203,0.000000,0.000000,1.231306,0.106593,0.460166
hp_blink_20260617_214655,923.281000,16,1.829997,1.829997,1.741124,2.308137,1.579315,0.505479,0.000000,0.000000,0.195746,0.000000,0.000000,0.195746,0.000000,0.000000,0.195746,0.125800,0.599202,0.209946,0.002389,1.255979
hp_blink_20260617_214655,929.125000,16,2.965761,-2.965761,1.990857,0.115422,1.243984,0.665837,0.000000,0.000000,0.537616,0.000000,0.000000,0.537616,0.000000,0.000000,0.107948,0.000000,0.000000,0.494675,0.002389,1.255979
hp_blink_20260617_214655,931.844000,16,1.869972,1.869972,1.206612,0.130588,1.253141,0.562438,0.245810,0.249991,0.983277,0.042834,0.390085,0.109807,0.001879,0.473215,0.003971,0.000000,0.000000,0.911061,0.002389,1.255979
hp_blink_20260617_214655,932.922000,16,2.468645,-2.468645,1.713131,0.105312,0.890116,0.288816,0.000000,0.000000,0.232050,0.000000,0.000000,0.232050,0.000000,0.000000,0.232050,0.135426,0.383044,0.353554,0.002389,1.255979
hp_blink_20260617_214655,936.016000,16,2.514507,2.514507,1.973785,0.083788,0.949001,0.528656,0.000000,0.000000,0.931644,0.000000,0.000000,0.462619,0.000000,0.000000,0.462619,0.000000,0.000000,0.856930,0.002389,1.255979
hp_blink_20260617_214655,938.344000,16,2.459639,-2.459639,1.470766,0.084589,1.001188,0.690311,0.356800,0.306597,1.163743,0.000000,0.000000,0.862286,0.000000,0.000000,0.362812,0.000000,0.000000,2.151119,0.002389,1.255979
,,,,,,,,,,,,,,,,,,,,,,
# NON-BLINK WINDOWS,,,,,,,,,,,,,,,,,,,,,,
hp_blink_20260617_184117,2.400000,16,0.354467,0.108857,0.002601,0.648682,0.271069,1.093557,0.842393,1.298156,0.960773,0.836522,1.148533,0.951686,0.848841,1.121160,0.000000,0.000000,0.198177,0.997583,0.786037
hp_blink_20260617_184117,33.250000,16,1.177418,0.477574,0.486906,0.684974,0.345627,0.344186,0.656038,0.524643,0.184108,0.238207,0.772890,0.172927,0.329609,0.524643,0.072551,0.686091,0.105746,0.997583,0.786037
hp_blink_20260617_184117,2.500000,16,0.354467,0.108724,0.284170,0.648682,0.296517,1.158433,0.883088,1.311798,1.089367,0.839165,1.298156,0.978162,0.851663,1.148533,0.000000,0.000000,0.281297,0.997583,0.786037
hp_blink_20260617_184117,29.900000,16,2.019598,0.412650,0.039336,1.270115,0.321349,0.075240,0.157469,0.477806,0.170575,0.402550,0.423736,0.214627,0.449192,0.477806,0.100189,0.496478,0.201800,0.997583,0.786037
hp_blink_20260617_184117,23.850000,16,1.687851,0.072848,0.458740,0.714272,0.190433,0.280091,0.955989,0.292985,0.345827,0.953116,0.362838,0.350693,0.955770,0.366922,0.017292,0.747645,0.023128,0.997583,0.786037
hp_blink_20260617_184117,23.700000,16,1.687851,0.079273,0.073888,0.714272,0.203874,0.380507,0.953986,0.398861,0.381478,0.956419,0.398861,0.375324,0.899390,0.417310,0.017747,0.767349,0.023128,0.997583,0.786037
hp_blink_20260617_184117,31.300000,16,1.966221,0.436222,0.201102,1.049660,0.331028,0.447404,0.879255,0.508845,0.336627,0.827928,0.406590,0.118085,0.440335,0.268171,0.000000,0.000000,0.000266,0.997583,0.786037
hp_blink_20260617_184117,2.650000,16,0.354467,0.105538,0.429687,0.648682,0.330773,1.237926,0.960099,1.289373,1.149070,0.885155,1.298156,1.111439,0.864193,1.286100,0.000000,0.000000,0.254767,0.997583,0.786037
hp_blink_20260617_184117,5.750000,16,1.715956,0.376575,0.243930,0.901929,0.266778,0.056170,0.077481,0.724950,0.209495,0.346927,0.603859,0.287681,0.464867,0.618846,0.000000,0.000000,0.021703,0.997583,0.786037
hp_blink_20260617_184117,35.800000,16,1.754326,0.324816,0.810237,0.907100,0.348224,0.020375,0.899697,0.022646,0.010398,0.459172,0.022646,0.017759,0.546541,0.032494,0.000451,0.561545,0.000804,0.997583,0.786037
hp_blink_20260617_190655,71.200000,16,1.254294,0.856281,0.884536,1.596786,0.571551,0.000000,0.000000,0.073636,0.000000,0.000000,0.073636,0.000000,0.000000,0.085461,0.000000,0.000000,0.049606,0.106593,0.460166
hp_blink_20260617_190655,69.500000,16,0.979068,0.430495,0.489765,0.864414,0.447746,0.248933,0.580924,0.428513,0.159816,0.486831,0.328279,0.043493,0.132486,0.328279,0.001423,0.293797,0.004844,0.106593,0.460166
hp_blink_20260617_190655,0.550000,16,2.190231,1.871227,0.861595,0.946237,0.517637,0.000000,0.000000,0.529016,0.000000,0.000000,0.622774,0.000000,0.000000,0.529016,0.000000,0.000000,0.602090,0.106593,0.460166
hp_blink_20260617_190655,68.800000,16,0.789742,0.629602,0.475363,1.432608,0.797352,0.188499,0.364371,0.517328,0.058730,0.163124,0.360031,0.000000,0.000000,0.263121,0.000000,0.000000,1.199530,0.106593,0.460166
hp_blink_20260617_190655,63.350000,16,0.240669,0.035728,0.331109,0.361105,0.167836,0.255747,0.941629,0.271600,0.255176,0.927341,0.275170,0.257701,0.927645,0.277801,0.037589,0.558155,0.067346,0.106593,0.460166
hp_blink_20260617_190655,71.100000,16,1.374652,0.904583,0.650747,1.596786,0.618379,0.000000,0.000000,0.355043,0.000000,0.000000,0.141544,0.000000,0.000000,0.141544,0.000000,0.000000,0.342930,0.106593,0.460166
hp_blink_20260617_190655,69.250000,16,0.979068,0.450728,0.376830,1.432608,0.592931,0.117024,0.356477,0.328279,0.000000,0.000000,0.328279,0.000000,0.000000,0.387981,0.072382,0.229103,0.315938,0.106593,0.460166
hp_blink_20260617_190655,0.600000,16,2.190231,1.858321,0.861595,0.946237,0.570172,0.000000,0.000000,0.719168,0.000000,0.000000,0.622774,0.000000,0.000000,0.622774,0.000000,0.000000,2.441827,0.106593,0.460166
hp_blink_20260617_190655,1.350000,16,1.776450,1.554542,0.860764,0.996108,0.548765,0.000000,0.000000,0.629209,0.000000,0.000000,0.024105,0.000000,0.000000,0.024105,0.000000,0.000000,0.312359,0.106593,0.460166
hp_blink_20260617_190655,70.250000,16,1.321931,0.425380,0.957532,1.335772,0.479771,0.000000,0.000000,0.471316,0.000000,0.000000,0.057975,0.000000,0.000000,0.018694,0.000000,0.000000,0.365363,0.106593,0.460166
