session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,35.719000,16,0.376502,-0.376502,0.219389,0.179619,0.634829,0.277300,0.136938,0.896009,0.152832,0.144600,0.778254,0.185801,0.086550,0.566307,0.152832,0.029887,0.345056,0.086616,0.055748,0.541489
hp_blink_20260617_190655,37.031000,16,0.206101,0.206101,0.045254,0.348371,0.712603,0.353308,0.047741,0.940408,0.050766,0.055470,0.925584,0.059930,0.047002,0.925853,0.050766,0.000000,0.000000,0.373569,0.055748,0.541489
hp_blink_20260617_190655,38.141000,16,0.438788,-0.438788,0.261126,0.079505,0.344785,0.167619,0.009159,0.356766,0.025673,0.229692,0.544215,0.422061,0.274165,0.622494,0.440430,0.019092,0.757038,0.025219,0.055748,0.541489
hp_blink_20260617_190655,42.250000,17,0.923309,0.923309,0.320607,0.582906,1.623107,0.552653,0.066587,0.637354,0.104473,0.072000,0.689174,0.104473,0.025331,0.504519,0.050208,0.000000,0.000000,0.419254,0.055748,0.541489
hp_blink_20260617_190655,45.328000,16,0.228729,0.228729,0.072343,0.177249,0.637422,0.183164,0.023332,0.861948,0.027069,0.048038,0.897174,0.053543,0.083936,0.910936,0.092143,0.014128,0.767479,0.018408,0.055748,0.541489
hp_blink_20260617_190655,47.906000,16,0.460306,0.460306,0.025148,0.400559,0.562597,0.231349,0.340316,0.955294,0.356242,0.362782,0.964289,0.376217,0.359505,0.955579,0.376217,0.073512,0.647780,0.113482,0.055748,0.541489
hp_blink_20260617_190655,49.500000,17,0.388641,0.388641,0.094079,0.075173,0.394325,0.173999,0.289732,0.940908,0.307928,0.254842,0.941491,0.270679,0.216866,0.943352,0.229889,0.034642,0.749758,0.046204,0.055748,0.541489
hp_blink_20260617_190655,49.828000,16,0.388899,0.388899,0.026444,0.138054,0.505158,0.225059,0.305003,0.969993,0.314438,0.299138,0.956773,0.312653,0.292962,0.951396,0.307928,0.045869,0.573681,0.079956,0.055748,0.541489
hp_blink_20260617_190655,52.625000,16,0.814993,-0.814993,0.647408,0.622692,0.834961,0.364109,0.366682,0.957844,0.382820,0.065795,0.171868,0.382820,0.000000,0.000000,0.382820,0.000000,0.000000,0.156521,0.055748,0.541489
hp_blink_20260617_190655,52.922000,16,0.814993,-0.814993,0.557266,0.456993,0.726523,0.264002,0.372461,0.978066,0.380814,0.069194,0.181701,0.380814,0.126138,0.330861,0.381243,0.044399,0.381488,0.116383,0.055748,0.541489
hp_blink_20260617_190655,57.156000,16,0.672071,0.672071,0.263710,0.396686,0.559294,0.252855,0.099425,0.934697,0.106371,0.095727,0.742306,0.128959,0.068264,0.614893,0.111018,0.047874,0.808537,0.059211,0.055748,0.541489
hp_blink_20260617_190655,58.719000,16,0.868665,-0.868665,0.562797,0.264917,0.349027,0.150167,0.000000,0.000000,0.371595,0.010900,0.030101,0.362106,0.000000,0.000000,0.288150,0.027025,0.823276,0.032827,0.055748,0.541489
hp_blink_20260617_190655,58.922000,16,0.868665,-0.868665,0.503659,0.305117,0.349027,0.142285,0.239636,0.479480,0.499783,0.000000,0.000000,0.414997,0.055924,0.152976,0.365574,0.030370,0.925153,0.032827,0.055748,0.541489
hp_blink_20260617_190655,60.422000,16,0.625339,0.625339,0.250343,0.282830,0.387940,0.220175,0.398150,0.811289,0.490762,0.225259,0.570528,0.394825,0.212770,0.538897,0.394825,0.021807,0.704820,0.030940,0.055748,0.541489
hp_blink_20260617_190655,60.797000,16,0.625339,0.625339,0.196587,0.021494,0.536371,0.184561,0.399849,0.868554,0.460362,0.331468,0.736343,0.450154,0.293471,0.637479,0.460362,0.056220,0.605911,0.092786,0.055748,0.541489
hp_blink_20260617_190655,61.141000,16,0.610893,0.610893,0.119501,0.481556,0.536371,0.142957,0.033768,0.924467,0.036527,0.030975,0.846917,0.036574,0.205644,0.822058,0.250158,0.001952,0.864830,0.002257,0.055748,0.541489
hp_blink_20260617_190655,66.500000,17,1.114960,1.114960,0.427364,0.416678,1.376426,0.670563,0.103148,0.448044,0.230219,0.000000,0.000000,0.319446,0.040091,0.093822,0.427311,0.000000,0.000000,0.177254,0.055748,0.541489
hp_blink_20260617_214655,923.281000,16,1.871255,1.871255,1.578312,0.887655,1.792916,0.698770,0.000000,0.000000,1.369535,0.000000,0.000000,0.510241,0.000000,0.000000,0.510241,0.024780,0.046793,0.529559,-0.002300,1.342951
hp_blink_20260617_214655,929.125000,16,2.965761,-2.965761,1.925277,0.639266,1.120067,0.694868,0.067451,0.067093,1.005335,0.000000,0.000000,1.005335,0.000000,0.000000,0.415239,0.000000,0.000000,1.827217,-0.002300,1.342951
hp_blink_20260617_214655,931.844000,16,1.747476,1.747476,1.092082,0.458601,1.183530,0.481835,0.013263,0.120860,0.109737,0.017346,0.317918,0.054562,0.011146,0.204279,0.054562,0.000000,0.000000,0.227129,-0.002300,1.342951
hp_blink_20260617_214655,932.922000,16,2.051612,2.051612,1.579099,0.422092,0.946946,0.521589,0.000000,0.000000,0.937147,0.000000,0.000000,0.923468,0.000000,0.000000,0.228768,0.000000,0.000000,0.345600,-0.002300,1.342951
hp_blink_20260617_214655,936.016000,16,2.514507,2.514507,1.606438,0.077476,0.998389,0.626554,0.000000,0.000000,0.936333,0.000000,0.000000,0.129091,0.000000,0.000000,0.219719,0.030071,0.082909,0.362702,-0.002300,1.342951
hp_blink_20260617_214655,938.344000,16,2.645456,2.645456,1.867843,0.103112,1.108454,0.649078,0.000000,0.000000,0.348566,0.000000,0.000000,0.308254,0.000000,0.000000,0.308254,0.000000,0.000000,1.525883,-0.002300,1.342951
,,,,,,,,,,,,,,,,,,,,,,
# NON-BLINK WINDOWS,,,,,,,,,,,,,,,,,,,,,,
hp_blink_20260617_184117,2.400000,16,0.354467,0.152259,0.814772,0.336253,0.129720,1.318704,0.951250,1.386286,1.280105,0.928794,1.378245,1.063632,0.786759,1.351916,0.038901,0.741773,0.052443,1.077672,0.772713
hp_blink_20260617_184117,33.250000,16,1.588038,0.617698,0.202831,0.843645,0.473032,0.000000,0.000000,0.935256,0.000000,0.000000,0.935256,0.093335,0.112823,0.827273,0.088184,0.296856,0.297058,1.077672,0.772713
hp_blink_20260617_184117,2.500000,16,0.354467,0.148361,0.371587,0.336253,0.149004,1.334718,0.957534,1.393912,1.326246,0.956690,1.386286,1.274040,0.924393,1.378245,0.037632,0.717583,0.052443,1.077672,0.772713
hp_blink_20260617_184117,29.900000,16,1.648534,0.124035,0.208359,0.877780,0.398658,0.380405,0.956471,0.397718,0.348436,0.944905,0.368753,0.373986,0.940329,0.397718,0.015533,0.484390,0.032067,1.077672,0.772713
hp_blink_20260617_184117,23.850000,16,1.681032,0.058648,0.710586,0.569581,0.164939,0.203366,0.955230,0.212897,0.269265,0.952308,0.282750,0.273928,0.955008,0.286834,0.015268,0.884221,0.017267,1.077672,0.772713
hp_blink_20260617_184117,23.700000,16,1.681032,0.066460,0.021559,0.569581,0.190358,0.303851,0.953193,0.318772,0.304640,0.955667,0.318772,0.309897,0.918973,0.337221,0.008858,0.838094,0.010569,1.077672,0.772713
hp_blink_20260617_184117,31.300000,16,1.994018,0.267944,0.192615,1.079356,0.318709,0.257611,0.561981,0.458398,0.203634,0.675983,0.301241,0.160602,0.724230,0.221756,0.000000,0.000000,0.243991,1.077672,0.772713
hp_blink_20260617_184117,2.650000,16,0.354467,0.054705,0.238496,0.336253,0.163751,1.313876,0.959411,1.369462,1.324531,0.955453,1.386286,1.306629,0.954118,1.369462,0.042174,0.804194,0.052443,1.077672,0.772713
hp_blink_20260617_184117,5.750000,16,1.715956,0.046977,0.216383,0.863064,0.221321,0.481694,0.937799,0.513643,0.503142,0.945660,0.532054,0.512569,0.936201,0.547499,0.036184,0.623261,0.058057,1.077672,0.772713
hp_blink_20260617_184117,35.800000,16,1.754326,0.319099,0.802747,1.167637,0.373135,0.092252,0.897967,0.102734,0.046215,0.449846,0.102734,0.060651,0.538722,0.112583,0.035610,0.787589,0.045213,1.077672,0.772713
hp_blink_20260617_190655,71.200000,16,1.741294,1.059152,1.498815,1.397614,0.516086,0.000000,0.000000,0.022791,0.000000,0.000000,0.022791,0.000000,0.000000,0.090700,0.000000,0.000000,0.344775,0.055748,0.541489
hp_blink_20260617_190655,69.500000,16,0.979068,0.363337,0.869963,1.336896,0.585275,0.243166,0.643862,0.377668,0.156446,0.563900,0.277435,0.121422,0.437661,0.277435,0.000000,0.000000,0.192427,0.055748,0.541489
hp_blink_20260617_190655,0.550000,16,2.821966,2.046740,0.910846,1.030724,0.598171,0.000000,0.000000,0.951495,0.000000,0.000000,0.951495,0.000000,0.000000,0.673619,0.000000,0.000000,1.682599,0.055748,0.541489
hp_blink_20260617_190655,68.800000,16,0.789742,0.538749,0.530681,1.416738,0.830988,0.214504,0.459832,0.466483,0.089296,0.288809,0.309186,0.000000,0.000000,0.212276,0.000000,0.000000,1.426132,0.055748,0.541489
hp_blink_20260617_190655,63.350000,16,0.240669,0.094588,0.678519,1.287122,0.356024,0.209805,0.950395,0.220755,0.210474,0.938253,0.224325,0.182334,0.817133,0.223139,0.007393,0.151641,0.048756,0.055748,0.541489
hp_blink_20260617_190655,71.100000,16,1.741294,1.101559,1.498815,1.397614,0.562747,0.000000,0.000000,0.405888,0.000000,0.000000,0.305478,0.000000,0.000000,0.305478,0.000000,0.000000,0.088378,0.055748,0.541489
