session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,12.047000,16,2.228789,-2.228789,1.558849,3.077722,1.734605,0.638161,0.000000,0.000000,1.005184,0.000000,0.000000,1.005184,0.000000,0.000000,0.875198,0.000000,0.000000,0.858618,0.106593,0.460166
hp_blink_20260617_190655,12.688000,16,1.914457,-1.914457,0.709725,1.337074,1.734605,0.688734,0.000000,0.000000,0.028687,0.000000,0.000000,0.134964,0.000000,0.000000,0.480937,0.000000,0.000000,0.218568,0.106593,0.460166
hp_blink_20260617_190655,12.906000,16,1.550661,-1.550661,0.680879,1.455511,1.441318,0.622013,0.000000,0.000000,0.146548,0.000000,0.000000,0.028687,0.000000,0.000000,0.028687,0.000000,0.000000,0.186711,0.106593,0.460166
hp_blink_20260617_190655,13.969000,16,0.948606,0.948606,0.269953,1.318031,0.924854,0.375034,0.702026,0.915537,0.766791,0.457930,0.653806,0.700406,0.311950,0.581152,0.536780,0.163186,0.736337,0.221618,0.106593,0.460166
hp_blink_20260617_190655,15.922000,16,0.825322,0.825322,0.052596,0.112029,0.553894,0.305708,0.445481,0.861828,0.516902,0.579727,0.876648,0.661300,0.584366,0.883664,0.661300,0.005953,0.485192,0.012270,0.106593,0.460166
hp_blink_20260617_190655,16.453000,16,0.779315,0.779315,0.171115,0.280281,0.532743,0.198745,0.576211,0.927791,0.621057,0.374161,0.613205,0.610172,0.333300,0.591202,0.563767,0.039615,0.565164,0.070095,0.106593,0.460166
hp_blink_20260617_190655,18.109000,16,0.926919,-0.926919,0.458324,0.040058,1.201015,0.529302,0.288209,0.491596,0.586273,0.000000,0.000000,0.531146,0.000000,0.000000,0.457267,0.000000,0.000000,0.415471,0.106593,0.460166
hp_blink_20260617_190655,19.906000,16,0.299726,0.299726,0.075155,0.238312,0.451734,0.192976,0.229930,0.878060,0.261861,0.166894,0.837872,0.199188,0.034911,0.857147,0.040729,0.043475,0.760938,0.057133,0.106593,0.460166
hp_blink_20260617_190655,21.688000,16,0.334923,0.334923,0.112313,1.074189,0.363952,0.141835,0.196844,0.881733,0.223246,0.259726,0.862504,0.301131,0.205117,0.784432,0.261484,0.031410,0.852808,0.036831,0.106593,0.460166
hp_blink_20260617_190655,23.219000,16,0.283075,-0.283075,0.063103,0.020270,0.582786,0.226998,0.229580,0.765463,0.299924,0.247727,0.825966,0.299924,0.276009,0.856304,0.322326,0.005037,0.295713,0.017035,0.106593,0.460166
